Transaction Date,Settlement Date,Activity Description,Description,Symbol,Quantity,Price,Price Currency,Total Amount,Total Currency
2022-06-17,2022-06-17,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-06-10,2022-06-10,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-06-07,2022-06-07,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,20,13.8,CAD,-276,CAD
2022-06-03,2022-06-03,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-06-03,2022-06-03,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,7044,0,,281.76,CAD
2022-05-27,2022-05-27,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-05-20,2022-05-20,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-05-13,2022-05-13,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-05-06,2022-05-06,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-05-06,2022-05-06,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,20,13.93,CAD,-278.6,CAD
2022-05-03,2022-05-03,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,7024,0,,280.96,CAD
2022-04-29,2022-04-29,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-04-22,2022-04-22,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-04-14,2022-04-14,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-04-08,2022-04-08,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-04-07,2022-04-07,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,3,46.36,CAD,-139.09,CAD
2022-04-07,2022-04-07,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,6,29.54,CAD,-177.24,CAD
2022-04-07,2022-04-07,Reinvestment,BMO LOW VOLATILITY CDN EQTY ET,ZLB,4,41.85,CAD,-167.4,CAD
2022-04-07,2022-04-07,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,19,14.5,CAD,-275.59,CAD
2022-04-07,2022-04-07,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,10,24.89,CAD,-248.94,CAD
2022-04-04,2022-04-04,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,7005,0,,280.2,CAD
2022-04-04,2022-04-04,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,107,0,,21.4,CAD
2022-04-04,2022-04-04,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,909,0,,190.89,CAD
2022-04-04,2022-04-04,Interest,BMO LOW VOLATILITY CDN EQTY ET,ZLB,739,0,,192.14,CAD
2022-04-04,2022-04-04,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,763,0,,167.86,CAD
2022-04-04,2022-04-04,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,1743,0,,261.45,CAD
2022-04-01,2022-04-01,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-03-25,2022-03-25,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-03-18,2022-03-18,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-03-11,2022-03-11,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-03-04,2022-03-04,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-03-04,2022-03-04,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,18,15.12,CAD,-272.16,CAD
2022-03-02,2022-03-02,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,6987,0,,279.48,CAD
2022-02-25,2022-02-25,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-02-18,2022-02-18,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-02-11,2022-02-11,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-02-04,2022-02-04,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-02-04,2022-02-04,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,18,15.23,CAD,-274.13,CAD
2022-02-02,2022-02-02,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,6969,0,,278.76,CAD
2022-01-28,2022-01-28,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-01-21,2022-01-21,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-01-14,2022-01-14,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-01-12,2022-01-12,Reinvestment,ISHARES U S SMALL CAP INDEX ET,XSU,2,43.51,CAD,-87.02,CAD
2022-01-10,2022-01-10,Reinvestment,BMO MSCI EMERGING MKTS INDEX E,ZEM,17,22.35,CAD,-379.95,CAD
2022-01-10,2022-01-10,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,10,26.1,CAD,-261,CAD
2022-01-10,2022-01-10,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,3,46.46,CAD,-139.38,CAD
2022-01-10,2022-01-10,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,6,28.58,CAD,-171.48,CAD
2022-01-10,2022-01-10,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,17,15.56,CAD,-264.52,CAD
2022-01-10,2022-01-10,Reinvestment,BMO LOW VOLATILITY CDN EQTY ET,ZLB,4,40.58,CAD,-162.32,CAD
2022-01-07,2022-01-07,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-01-06,2022-01-06,Interest,ISHARES U S SMALL CAP INDEX ET,XSU,410,0,,90.95,CAD
2022-01-05,2022-01-05,Interest,BMO MSCI EMERGING MKTS INDEX E,ZEM,705,0,,394.8,CAD
2022-01-05,2022-01-05,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,760,0,,159.6,CAD
2022-01-05,2022-01-05,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,107,0,,22.47,CAD
2022-01-05,2022-01-05,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,903,0,,189.63,CAD
2022-01-05,2022-01-05,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,6952,0,,278.08,CAD
2022-01-05,2022-01-05,Interest,BMO LOW VOLATILITY CDN EQTY ET,ZLB,735,0,,183.75,CAD
2022-01-05,2022-01-05,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,1733,0,,277.28,CAD
2021-12-31,2021-12-31,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-12-24,2021-12-24,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-12-17,2021-12-17,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-12-10,2021-12-10,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-12-07,2021-12-07,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,17,15.65,CAD,-266.01,CAD
2021-12-03,2021-12-03,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-12-02,2021-12-02,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,6935,0,,277.4,CAD
2021-11-26,2021-11-26,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-11-19,2021-11-19,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-11-12,2021-11-12,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-11-08,2021-11-08,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,17,15.46,CAD,-262.82,CAD
2021-11-05,2021-11-05,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-11-02,2021-11-02,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,6918,0,,276.72,CAD
2021-10-29,2021-10-29,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-10-22,2021-10-22,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-10-15,2021-10-15,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-10-12,2021-10-12,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,3,41.35,CAD,-124.05,CAD
2021-10-12,2021-10-12,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,10,24.48,CAD,-244.8,CAD
2021-10-08,2021-10-08,Contribution,CONTRIBUTION,,0,0,,50,CAD
2021-10-08,2021-10-08,Reinvestment,BMO LOW VOLATILITY CDN EQTY ET,ZLB,4,38.31,CAD,-153.24,CAD
2021-10-08,2021-10-08,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,6,26.87,CAD,-161.22,CAD
2021-10-07,2021-10-07,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,17,15.69,CAD,-266.73,CAD
2021-10-04,2021-10-04,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,897,0,,170.43,CAD
2021-10-04,2021-10-04,Interest,BMO LOW VOLATILITY CDN EQTY ET,ZLB,731,0,,175.44,CAD
2021-10-04,2021-10-04,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,1723,0,,258.45,CAD
2021-10-04,2021-10-04,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,757,0,,151.4,CAD
2021-10-04,2021-10-04,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,6901,0,,276.04,CAD
2021-10-04,2021-10-04,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,107,0,,21.4,CAD
2021-10-01,2021-10-01,Contribution,CONTRIBUTION,,0,0,,50,CAD
